DeviceId,DeviceType,IpAddress,CpuUsage,MemoryUsage,NetworkLatencyMs
DEV-101,Server,192.168.1.10,45.2,55,12
DEV-102,NetworkSwitch,192.168.1.1,88.5,40.2,4
DEV-103,Server,10.0.0.5,92.1,89.7,85
DEV-104,Server,10.0.0.6,14,22.4,5
DEV-105,NetworkSwitch,192.168.1.2,33.1,61.8,9
DEV-106,Server,172.16.5.22,96.4,94.1,210
DEV-107,NetworkSwitch,172.16.5.1,12.5,15,2
MALFORMED_ROW_TEST,InvalidWeight,0,,,
DEV-108,Server,192.168.1.55,-5,50,15
DEV-109,NetworkSwitch,192.168.1.3,79.8,82.3,45
DEV-110,Server,10.0.0.12,86,71.5,18
